review,rating,date,bank,source,sentiment,keywords
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,0.0,"['using', 'last', 'years', 'problems', 'stopped', 'working', 'months', 'tried', 'transfer', 'funds', 'gives', 'error', 'transaction', 'inactive', 'account']"
i like everything of this app,5,2025-05-27,CBE,Google Play,0.0,['everything']
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,0.0,['network']
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,0.31999999999999995,"['best', 'financial', 'application', 'dimple', 'thank', 'much', 'developer', 'application', 'really', 'appreciate']"
nice,5,2025-05-26,CBE,Google Play,0.6,['nice']
good job,5,2025-05-26,CBE,Google Play,0.7,['good']
it's awesome!!,5,2025-05-25,CBE,Google Play,1.0,['awesome']
thankyou every one,5,2025-05-25,CBE,Google Play,0.0,"['thankyou', 'every']"
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,0.0,['ronaldo']
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,0.4666666666666666,"['absolutely', 'fantastic', 'love', 'enjoying', 'support', 'foundation', 'together']"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,-0.1405050505050505,"['highly', 'unreliable', 'recent', 'weeks', 'frequently', 'fails', 'work', 'properly', 'both', 'ethio', 'telecom', 'safaricom', 'networks', 'whether', 'using', 'mobile', 'data', 'week', 'system', 'down', 'entirely', 'extended', 'periods', 'making', 'difficult', 'access', 'banking', 'services', 'functions', 'intermittently', 'lack', 'consistency', 'frustrating', 'hope', 'issues', 'addressed', 'soon', 'technical', 'influences', 'removed', 'essential', 'services']"
mortuary app,5,2025-05-25,CBE,Google Play,0.0,['mortuary']
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,0.21428571428571427,"['smart', 'stoped', 'period', 'time', 'device', 'reason']"
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,0.6000000000000001,"['amazing', 'used', 'year']"
👍,5,2025-05-24,CBE,Google Play,0.0,[]
good app,5,2025-05-24,CBE,Google Play,0.7,['good']
i love it 😍😘,5,2025-05-24,CBE,Google Play,0.5,['love']
It makes life easy!👌,5,2025-05-24,CBE,Google Play,0.0,"['makes', 'life', 'easy']"
its not fast,1,2025-05-24,CBE,Google Play,-0.1,['fast']
wow,4,2025-05-24,CBE,Google Play,0.1,[]
it is sooo good,5,2025-05-24,CBE,Google Play,0.7,"['sooo', 'good']"
excellent,5,2025-05-24,CBE,Google Play,1.0,['excellent']
ok,1,2025-05-24,CBE,Google Play,0.5,[]
Fantastic,5,2025-05-23,CBE,Google Play,0.4,['fantastic']
accessible to using,5,2025-05-23,CBE,Google Play,0.375,"['accessible', 'using']"
I like it,4,2025-05-23,CBE,Google Play,0.0,[]
why you change default network?,5,2025-05-23,CBE,Google Play,0.0,"['change', 'default', 'network']"
very nice 👍,5,2025-05-23,CBE,Google Play,0.78,['nice']
nice fast app,5,2025-05-23,CBE,Google Play,0.4,"['nice', 'fast']"
how to I get my money,5,2025-05-23,CBE,Google Play,0.0,['money']
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,-0.9099999999999998,"['load', 'need', 'improve', 'services']"
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,0.9099999999999999,"['good', 'please', 'make', 'reliable', 'crashes', 'sometimes']"
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,0.13,"['busy', 'know', 'prefer']"
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,-0.5,"['sometimes', 'nasty', 'several', 'hour', 'rest']"
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,-0.16666666666666666,"['boring', 'mobil', 'banking', 'application', 'ethiopia', 'please', 'alternative', 'private', 'banks', 'mobile', 'banking', 'apps']"
